,City,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,48.2,48.0,71,0,8.05,CL,1617210378
1,Port-Gentil,-0.7193,8.7815,80.6,80.6,83,40,8.05,GA,1617210142
2,Bluff,-46.6,168.3333,39.99,39.99,92,16,1.01,NZ,1617210430
3,Tuktoyaktuk,69.4541,-133.0374,-20.2,-20.2,76,75,18.41,CA,1617210431
4,Asău,46.4333,26.4,55.4,55.0,35,75,3.44,RO,1617210431
5,Ushuaia,-54.8,-68.3,48.2,48.2,53,0,1.14,AR,1617210432
6,Mar del Plata,-38.0023,-57.5575,68.0,68.0,77,40,11.5,AR,1617210206
7,Lebu,-37.6167,-73.65,61.59,61.59,78,100,15.43,CL,1617210433
8,Yar-Sale,66.8333,70.8333,9.9,9.9,92,100,21.88,RU,1617210433
9,Marsá Maţrūḩ,31.3525,27.2453,60.8,60.8,48,20,10.36,EG,1617210426
10,Angarsk,52.5367,103.8864,26.6,26.6,59,0,4.47,RU,1617210434
11,Kieta,-6.2167,155.6333,77.94,77.94,84,35,2.62,PG,1617210435
12,Hilo,19.7297,-155.09,69.8,62.01,78,90,8.05,US,1617210241
13,Iqaluit,63.7506,-68.5145,-4.0,-4.0,71,90,10.36,CA,1617210435
14,Alofi,-19.0595,-169.9187,78.8,78.8,89,5,8.05,NU,1617210436
15,Jamestown,42.097,-79.2353,43.0,42.01,87,90,21.85,US,1617210239
16,Laguna,38.421,-121.4238,64.0,61.0,25,1,5.75,US,1617210437
17,Tubmanburg,6.8708,-10.8172,87.08,87.08,60,75,5.77,LR,1617210437
18,Road Town,18.4167,-64.6167,82.4,80.01,69,75,13.8,VG,1617210383
19,Mataura,-46.1927,168.8643,39.99,39.99,92,10,1.01,NZ,1617210438
20,Amboasary,-25.0333,46.3833,75.2,75.2,69,75,6.91,MG,1617210438
21,Bonavista,48.6499,-53.1147,39.2,33.01,35,29,3.44,CA,1617210455
22,Busselton,-33.65,115.3333,64.99,64.99,92,100,7.76,AU,1617210455
23,Airai,-8.9266,125.4092,59.4,59.4,95,99,1.7,TL,1617210456
